period_start,order_count,total_kwh,total_fees,data_version
2015-03-22,6,36.77000000,0E-8,2.2.0
2015-03-23,7,66.32000000,1.95000000,2.2.0
2015-03-24,12,103.80000000,1.45000000,2.2.0
2015-03-25,9,52.16000000,8.90000000,2.2.0
2015-03-26,9,46.90000000,0.46000000,2.2.0
2015-03-27,11,75.44000000,0.58000000,2.2.0
2015-03-28,7,27.98000000,0E-8,2.2.0
2015-04-01,20,202.66000000,8.20000000,2.2.0
2015-04-02,11,113.87000000,2.52000000,2.2.0
2015-04-03,24,165.58000000,11.29000000,2.2.0
2015-04-04,12,87.45000000,0.25000000,2.2.0
2015-04-05,13,66.99000000,8.59000000,2.2.0
2015-04-06,15,135.18000000,1.54000000,2.2.0
2015-04-07,10,42.80000000,0.58000000,2.2.0
2015-04-08,13,77.08000000,8.65000000,2.2.0
2015-04-09,17,127.26000000,0.29000000,2.2.0
2015-04-10,6,47.47000000,0E-8,2.2.0
2015-04-11,10,68.63000000,0E-8,2.2.0
2015-04-12,19,133.70000000,18.23000000,2.2.0
2015-04-13,7,38.13000000,0E-8,2.2.0
2015-04-14,15,104.80000000,0.16000000,2.2.0
2015-04-15,10,79.22000000,0.92000000,2.2.0
2015-04-16,14,59.82000000,3.13000000,2.2.0
2015-04-17,17,119.17000000,3.83000000,2.2.0
2015-04-18,5,17.99000000,0E-8,2.2.0
2015-04-19,12,118.10000000,0.78000000,2.2.0
2015-04-20,16,101.62000000,0E-8,2.2.0
2015-04-21,14,139.62000000,1.96000000,2.2.0
2015-04-22,10,79.60000000,0E-8,2.2.0
2015-04-23,15,112.41000000,7.18000000,2.2.0
2015-04-24,14,98.61000000,10.48000000,2.2.0
2015-04-25,11,82.41000000,1.38000000,2.2.0
2015-04-26,8,52.55000000,0.12000000,2.2.0
2015-04-27,21,203.49000000,14.75000000,2.2.0
2015-04-28,8,66.57000000,0E-8,2.2.0
2015-05-01,17,187.70000000,7.50000000,2.2.0
2015-05-02,20,132.83000000,3.64000000,2.2.0
2015-05-03,22,177.92000000,3.35000000,2.2.0
2015-05-04,14,92.77000000,0.79000000,2.2.0
2015-05-05,24,116.90000000,10.23000000,2.2.0
2015-05-06,17,124.76000000,0.91000000,2.2.0
2015-05-07,18,124.85000000,0.79000000,2.2.0
2015-05-08,17,121.92000000,0.48000000,2.2.0
2015-05-09,24,191.71000000,0E-8,2.2.0
2015-05-10,12,97.53000000,3.22000000,2.2.0
2015-05-11,18,129.20000000,10.55000000,2.2.0
2015-05-12,12,88.87000000,8.22000000,2.2.0
2015-05-13,18,153.36000000,6.33000000,2.2.0
2015-05-14,21,144.79000000,4.19000000,2.2.0
2015-05-15,12,99.96000000,0.67000000,2.2.0
2015-05-16,22,117.82000000,0.33000000,2.2.0
2015-05-17,12,123.02000000,0E-8,2.2.0
2015-05-18,14,134.43000000,0.51000000,2.2.0
2015-05-19,16,185.26000000,3.31000000,2.2.0
2015-05-20,16,90.71000000,5.57000000,2.2.0
2015-05-21,28,204.87000000,2.27000000,2.2.0
2015-05-22,16,79.07000000,1.23000000,2.2.0
2015-05-23,19,134.02000000,1.89000000,2.2.0
2015-05-24,23,139.81000000,7.95000000,2.2.0
2015-05-25,21,158.30000000,10.30000000,2.2.0
2015-05-26,20,134.00000000,3.02000000,2.2.0
2015-05-27,13,86.75000000,0.83000000,2.2.0
2015-05-28,23,152.03000000,8.47000000,2.2.0
2015-06-01,16,122.73000000,0.40000000,2.2.0
